ID,Title,Artist,Genre,Year,Location,Duration
236,OUT OF TIME,"ROLLING STONES, THE",1990s,1975,"Rolling Stones, The-Out Of Time.mp3",226
237,SOS,ABBA,2000s,1975,Abba-SOS.mp3,202
238,CHICK-A-BOOM,53RD AND A 3RD FT THE SOUND OF SHAG,1980s,1975,53rd And A 3rd ft The Sound Of Shag-Chick-A-Boom.mp3,177
239,NAPPY LOVE,"GOODIES, THE",CLUB,1975,"Goodies, The-Nappy Love.mp3",219
240,FEELINGS,MORRIS ALBERT,1990s,1975,Morris Albert-Feelings.mp3,218
241,REQUIEM,SLIK,CLASSICAL,1976,Slik-Requiem.mp3,295
242,MY RESISTANCE IS LOW,ROBIN SARSTEDT,ROCK & ROLL,1976,Robin Sarstedt-My Resistance Is Low.mp3,167
243,MIDNIGHT TRAIN TO GEORGIA,GLADYS KNIGHT & THE PIPS,1970s,1976,Gladys Knight & The Pips-Midnight Train To Georgia.mp3,283
244,TRACKS OF MY TEARS,LINDA RONSTADT,IRISH,1976,Linda Ronstadt-Tracks Of My Tears.mp3,193
245,MANCHESTER UNITED,MANCHESTER UNITED FC,LOVE SONGS,1976,Manchester United FC-Manchester United.mp3,155
246,SILLY LOVE SONGS,WINGS,LATIN,1976,Wings-Silly Love Songs.mp3,354
247,COMBINE HARVESTER,"WURZELS, THE",R&B,1976,"Wurzels, The-Combine Harvester.mp3",182
248,SHAKE IT DOWN,MUD,2010s,1976,Mud-Shake It Down.mp3,208
249,THIS IS IT,MELBA MOORE,DISCO,1976,Melba Moore-This Is It.mp3,211
250,9 TO 5,DOLLY PARTON,1960s,1976,Dolly Parton-9 tTo 5.mp3,166
251,UNDERCOVER ANGEL,ALAN O'DAY,R&B,1977,Alan O'Day-Undercover Angel.mp3,214
252,I FEEL LOVE,DONNA SUMMER,2010s,1977,Donna Summer-I Feel Love.mp3,228
253,ANGELO,BROTHERHOOD OF MAN,ROCK,1977,Brotherhood Of Man-Angelo.mp3,195
254,STRAWBERRY LETTER 23,"BROTHERS JOHNSON, THE",ROCK & ROLL,1977,"Brothers Johnson, The-Strawberry Letter 23.mp3",300
255,PRETTY VACANT,"SEX PISTOLS, THE",1980s,1977,"Sex Pistols, The-Pretty Vacant.mp3",194
256,DREAMS,FLEETWOOD MAC,1960s,1977,Fleetwood Mac-Dreams.mp3,255
257,THREE RING CIRCUS,BARRY BIGGS,CLASSICAL,1977,Barry Biggs-Three Ring Circus.mp3,242
258,FALCON,"RAH BAND, THE",1980s,1977,"Rah Band, The-Falcon.mp3",376
259,HEAVEN ON THE 7TH FLOOR,PAUL NICHOLAS,R&B,1977,Paul Nicholas-Heaven On The 7th Floor.mp3,167
260,ROADRUNNER,JONATHAN RICHMAN,R&B,1977,Jonathan Richman-Roadrunner.mp3,245
261,BROWN GIRL IN THE RING,BONEY M,IRISH,1978,Boney M-Brown Girl In The Ring.mp3,188
262,RIVERS OF BABYLON,BONEY M,LATIN,1978,Boney M-Rivers Of Babylon.mp3,240
263,BECAUSE THE NIGHT,"PATTI SMITH GROUP, THE",LOVE SONGS,1978,"Patti Smith Grorp, The-Because The Night.mp3",186
264,COME TO ME!,RUBY WINTERS,LOVE SONGS,1978,Ruby Winters-Come To Me!.mp3,191
265,LOVE IS IN THE AIR,JOHN PAUL YOUNG,LATIN,1978,John Paul Young-Love Is In The Air.mp3,205
266,SHAME,ALAN PRICE,REGGAE,1978,Alan Price-Shame.mp3,167
267,WHAT A WASTE,IAN DURY & THE BLOCKHEADS,1970s,1978,Ian Dury & The Blockheads-What A Waste!.mp3,206
268,THE DAY THE WORLD TURNED DAY-GLO,X-RAY SPEX,REGGAE,1978,X Ray Spex-The Day The World Turned Day Glo.mp3,171
269,DANCE A LITTLE BIT CLOSER,CHARO & THE SALSOUL ORCHESTRA,IRISH,1978,Charo & The Salsoul Orchestra-Dance A Little Bit Closer.mp3,270
270,NICE 'N' SLEAZY,"STRANGLERS, THE",R&B,1978,"Stranglers, The-Nice 'N' Sleazy.mp3",194
271,SHAKE YOUR BODY (DOWN TO THE GROUND),"JACKSONS, THE (JACKSON 5, THE)",2010s,1979,"Jacksons, The (Jackson 5, The)-Shake Your Body (Down To The Ground).mp3",227
272,GIVE ME BACK ME BRAIN,DUFFO,R&B,1979,Duffo-Give Me Back Me Brain.mp3,162
273,IMAGINATION,ROCKY SHARPE & THE REPLAYS,1960s,1979,Rocky Sharpe & The Replays-Imagination.mp3,159
274,LET'S FLY AWAY,VOYAGE,1950s,1979,Voyage-Let's Fly Away.mp3,299
275,SHA LA LA MEANS I LOVE YOU,BARRY WHITE,JAZZ,1979,Barry White-Sha la la Means I Love You.mp3,449
276,THE STAIRCASE (MYSTERY),SIOUXSIE & THE BANSHEES,ROCK & ROLL,1979,Siouxsie & The Banshees-The Staircase (Mystery).mp3,188
277,SOME GIRLS,RACEY,1960s,1979,Racey-Some Girls.mp3,204
278,THE LOGICAL SONG,SUPERTRAMP,1960s,1979,Supertramp-The Logical Song.mp3,248
279,HAVEN'T STOPPED DANCING YET,GONZALEZ,2010s,1979,Gonzalez-Haven't Stopped Dancing Yet.mp3,254
280,VIDEO KILLED THE RADIO STAR,"BUGGLES, THE",1960s,1979,"Buggles, The-Video Killed The Radio Star.mp3",206
281,"THE NIGHT, THE WINE AND THE ROSES",LIQUID GOLD,LIVE,1980,"Liquid Gold-The Night, The Wine & The Roses.mp3",263
282,INHERIT THE WIND,WILTON FELDER,IRISH,1980,Wilton Fender-Inherit The Wind.mp3,228
283,"SMOKE ON THE WATER (LIVE) (NEW, LIVE & RARE VOL.3) (EP)",DEEP PURPLE,CLUB,1980,"Deep Purple-Smoke On The Water (New, Live & Rare Vol.3 (EP).mp3",223
284,THE CRUNCH,"RAH BAND, THE",1990s,1980,"Rah Band, The-The Crunch.mp3",156
285,CELEBRATION,KOOL & THE GANG,CLASSICAL,1980,Kool & The Gang-Celebration.mp3,219
286,THE TIDE IS HIGH,BLONDIE,1970s,1980,Blondie-The Tide Is High.mp3,229
287,THE SAME OLD SCENE,ROXY MUSIC,DISCO,1980,Roxy Music-Same Old Scene.mp3,239
288,(JUST LIKE) STARTING OVER,JOHN LENNON,IRISH,1980,John Lennon-(Just Like) Starting Over.mp3,237
289,BABY JANE,ROD STEWART,1970s,1980,Rod Stewart-Baby Jane.mp3,283
290,MILES AWAY,JOHN FOXX,INDIE,1980,John Foxx-Miles Away.mp3,194
291,OSSIE'S DREAM (SPURS ARE ON THEIR WAY TO WEMBLEY),TOTTENHAM HOTSPUR FC,2000s,1981,Tottenham Hotspur FC-Ossie's Dream (Spurs Are On Their Way To Wembley).mp3,243
292,WHEN YOU WERE SWEET SIXTEEN,"FUREYS, THE & DAVEY ARTHUR",LIVE,1981,"Fureys, The & Davey Arthur-When You Were Sweet Sixteen.mp3",248
293,EVERY LITTLE THING SHE DOES IS MAGIC,"POLICE, THE",HIP HOP & RAP,1981,"Police, The-Every Little Thing She Does Is Magic.mp3",261
294,LET'S GROOVE,EARTH WIND & FIRE ,JAZZ,1981,Earth Wind & Fire-Let's Groove.mp3,247
295,WHY DO FOOLS FALL IN LOVE,DIANA ROSS,LIVE,1981,Diana Ross-Why Do Fools Fall In Love.mp3,288
296,I WANT TO BREAK FREE,QUEEN,ROCK & ROLL,1981,Queen-I Want To Break Free.mp3,258
297,PRETTY IN PINK,"PSYCHEDELIC FURS, THE",LOVE SONGS,1981,"Psychedelic Furs, The-Pretty In Pink.mp3",281
298,ONCE IN A LIFETIME,TALKING HEADS,IRISH,1981,Talk Talk-It's My Life.mp3,231
299,JOLENE,DOLLY PARTON,1970s,1981,Dolly Parton-Jolene.mp3,160
300,IT'S GOING TO HAPPEN,"UNDERTONES, THE",IRISH,1981,"Undertones, The-It's Going To Happen.mp3",218
301,SAVE A PRAYER,DURAN DURAN,ROCK,1982,Duran Duran-Save A Prayer.mp3,226
302,LOVE PLUS ONE,HAIRCUT 100,LOVE SONGS,1982,Haircut 100-Love Plus One.mp3,212
303,UNDER PRESSURE,QUEEN & DAVID BOWIE,REGGAE,1982,Queen & David Bowie-Under Pressure.mp3,244
304,GIVE ME YOUR HEART TONIGHT,SHAKIN' STEVENS,2000s,1982,Shakin' Stevens-Give Me Your Heart Tonight.mp3,185
305,WHERE DID WE GO WRONG,LIQUID GOLD,LOVE SONGS,1982,Liquid Gold-Where Did We Go Wrong.mp3,235
306,TWO HEARTS TOGETHER,ORANGE JUICE,2010s,1982,Orange Juice-Two Hearts Together.mp3,191
307,UNIFORMS,PETE TOWNSHEND,ROCK & ROLL,1982,Pete Townshend-Uniforms.mp3,223
308,RUFF MIX,WONDER DOG,POP,1982,Wonder Dog-Ruff Mix.mp3,207
309,YOU'VE GOT ANOTHER THING COMIN',JUDAS PRIEST,ROCK,1982,Judas Priest-You've Got Another Thing Comin'.mp3,311
310,I KNOW THERE'S SOMRTHING GOING ON,FRIDA,IRISH,1982,Frida-I Know There's Something Going On.mp3,185
311,WINGS OF A DOVE,MADNESS,DISCO,1983,Madness-Wings Of A Dove.mp3,178
312,(I CAN'T HELP) FALLING IN LOVE WITH YOU,UB40,DISCO,1983,UB40-(I Can't Help) Falling In Love With You.mp3,204
313,VOICES IN THE SKY,"MOODY BLUES, THE",1980s,1983,"Moody Blues, The-Voices In the Sky.mp3",211
314,IT'S RAINING MEN,"WEATHER GIRLS, THE",1980s,1983,"Weather Girls, The-It's Raining Men.mp3",212
315,BIG TIME,RICK JAMES,DISCO,1983,Rick James-Big Time.mp3,388
316,DON'T YOU GET SO MAD,JEFFREY OSBORNE,ROCK,1983,Jeffrey Osborne-Don't You Get So Mad.mp3,228
317,NATIVE LAND,EVERYTHING BUT THE GIRL,LATIN,1983,Everything But The Girl-Native Land.mp3,187
318,PASSION,ROD STEWART,1980s,1983,Rod Stewart-Passion.mp3,332
319,ROCK OF AGES,DEF LEPPARD,COUNTRY,1983,Def Leppard-Rock Of Ages.mp3,248
320,STREET OF DREAMS,RAINBOW,2000s,1983,Rainbow-Street Of Dreams.mp3,265
321,AGAINST ALL ODDS (TAKE A LOOK AT ME NOW),PHIL COLLINS,1970s,1984,Phil Collins-Against All Odds (Take A Look At Me Now).mp3,205
322,THE CATERPILLAR,"CURE, THE",LATIN,1984,"Cure, The-The Caterpillar.mp3",220
323,GIVE ME TONIGHT,SHANNON,INDIE,1984,Shannon-Give Me Tonight.mp3,367
324,IT'S MY LIFE,TALK TALK,INDIE,1984,Take That-Patience.mp3,202
325,AUTOMATIC,"POINTER SISTERS, THE",DISCO,1984,"Pointer Sisters, The-Automatic.mp3",241
326,SOMEBODY'S WATCHING ME,ROCKWELL,1950s,1984,Rockwell-Somebody's Watching Me.mp3,238
327,SOMETIMES,ELAINE PAIGE,INDIE,1984,Elaine Paige-Sometimes.mp3,155
328,IN THE NIGHT,BARBARA DICKSON,ROCK,1984,Barbara Dickson-In The Night.mp3,229
329,BACKCHAT,QUEEN,ROCK,1984,Queen-Backchat.mp3,248
330,LOCOMOTION,ORCHESTRAL MANOEUVRES IN THE DARK,CLUB,1984,Orchestral Manoeuvres In The Dark-Locomotion.mp3,223
331,FEEL SO REAL,STEVE ARRINGTON,IRISH,1985,Steve Arrington-Feel So Real.mp3,237
332,NO REST,NEW MODEL ARMY,LOVE SONGS,1985,New Model Army-No Rest.mp3,231
333,I WANT YOUR LOVIN' (JUST A LITTLE BIT),CURTIS HAIRSTON,LIVE,1985,Curtis Haiston-I Want Your Lovin' (Just A Little Bit).mp3,330
334,WALK LIKE A MAN,DIVINE,ROCK,1985,Divine-Walk Like A Man.mp3,324
335,DON'T FALL IN LOVE (I SAID),TOYAH,2010s,1985,Toyah-Don't Fall In Love (I Said).mp3,228
336,RAGE TO LOVE,KIM WILDE,R&B,1985,Kim Wilde-Rage To Love.mp3,260
337,DESTINY CALLING,JAMES,IRISH,1985,James-Destiny Calling.mp3,237
338,LOVE DON'T LIVE HERE ANYMORE,JIMMY NAIL,1980s,1985,Jimmy Nail-Love Don't Live Here Anymore.mp3,209
339,WALKING ON SUNSHINE,KATRINA & THE WAVES,HIP HOP & RAP,1985,Katrina & The Waves-Walking On Sunshine.mp3,219
340,I WONDER IF I TAKE YOU HOME,LISA LISA & CULT JAM WITH FULL FORCE,MOTOWN & SOUL,1985,Lisa Lisa & Cult Jam With Full Force-I Wonder If I Take You Home.mp3,203
341,WONDERFUL WORLD (1986),SAM COOKE,ROCK,1986,Sam Cooke-Wonderful World.mp3,129
342,HELLO DARLING,TIPPA IRIE,1950s,1986,Tippa Irie-Hello Darlin'.mp3,214
343,GALVESTON BAY,LONNIE HILL,JAZZ,1986,Lonnie Hill-Galveston Bay.mp3,340
344,ROCK ME AMADEUS,FALCO,R&B,1986,Falco-Rock Me Amadeus.mp3,200
345,E = MC2,BIG AUDIO DYNAMITE,INDIE,1986,Big Audio Dynamite-E=MC2.mp3,269
346,WHEN I THINK OF YOU,JANET JACKSON,LOVE SONGS,1986,Janet Jackson-When I Think Of You.mp3,235
347,CANDY,CAMEO,2000s,1986,Cameo-Candy.mp3,247
348,TALK TO ME,STEVIE NICKS,LIVE,1986,Stevie Nicks-Talk To Me.mp3,250
349,AFTER ALL THESE YEARS,FOSTER & ALLEN,1970s,1986,Foster & Allen-After All These Years.mp3,234
350,CAN'T HELP FALLING IN LOVE WITH YOU,LICK THE TINS,DISCO,1986,Lick The Tins-Can't Help Falling In Love.mp3,187
351,HUNG UP,MADONNA,HIP HOP & RAP,1987,Madonna-Hung Up.mp3,198
352,LA BAMBA,LOS LOBOS,1960s,1987,Los Lobos-La Bamba.mp3,176
353,EVERYTHING I OWN,BOY GEORGE,LOVE SONGS,1987,Boy George-Everything I Own.mp3,236
354,PASS THE MIC,"BEASTIE BOYS, THE",1970s,1987,"Beastie Boys, The-Pass The Mic.mp3",257
355,SPY IN THE HOUSE OF LOVE,WAS (NOT WAS),1960s,1987,Was (Not Was)-Spy In The House Of Love.mp3,256
356,TOM'S DINER,SUZANNE VEGA,1980s,1987,Suzanne Vega-Tom's Diner.mp3,129
357,DRAGNET,"ART OF NOISE, THE",DISCO,1987,"Art Of Noise, The-Dragnet.mp3",177
358,I FOUND LOVIN',STEVE WALSH,LATIN,1987,Steve Walsh-I Found Lovin'.mp3,208
359,REBEL WITHOUT A PAUSE,PUBLIC ENEMY,MOTOWN & SOUL,1987,Public Enemy-Rebel Without A Pause.mp3,258
360,WE'VE GOT TONIGHT,BOB SEGER & THE SILVER BULLET BAND,DISCO,1987,Bob Seger & The Silver Bullet-We've Got Tonight.mp3,279
361,DIGNITY,DEACON BLUE,1970s,1988,Deacon Blue-Dignity.mp3,241
362,WALK IN THE NIGHT,PAUL HARDCASTLE,MOTOWN & SOUL,1988,Paul Hardcastle-Walk In The Night.mp3,238
363,AIRHEAD,THOMAS DOLBY,R&B,1988,Thomas Dolby-Airhead.mp3,309
364,WHAT A WONDERFUL WORLD,LOUIS ARMSTRONG,2000s,1988,Louis Armstrong-What A Wonderful World.mp3,140
365,GOOD TIMES (1988),CHIC,LATIN,1988,Chic-Good Times.mp3,219
366,I WANT YOUR LOVE,TRANSVISION VAMP,COUNTRY,1988,Transvision Vamp-I Want Your Love.mp3,213
367,SHOVE IT,CROSS,HIP HOP & RAP,1988,Cross-Shove It.mp3,208
368,PERFECT,FAIRGROUND ATTRACTION,MOTOWN & SOUL,1988,Fairground Attraction-Perfect.mp3,217
369,CONSTANT CRAVING,KD LANG,LIVE,1988,KD Lang-Constant Craving.mp3,225
370,HOLD BACK THE RIVER,JAMES BAY,CLUB,1988,James Bay-Hold Back The River.mp3,235
371,HERE COMES YOUR MAN,"PIXIES, THE",2000s,1989,"Pixies, The-Here Comes Your Man.mp3",196
372,AND A BANG ON THE EAR,"WATERBOYS, THE",1970s,1989,"Waterboys, The-And A Bang On The Ear.mp3",445
373,DAYS,KIRSTY MACCOLL,ROCK & ROLL,1989,Kirsty MacColl-Days.mp3,177
374,CHA CHA HEELS,EARTHA KITT & BRONSKI BEAT,1950s,1989,Eartha Kitt & Bronski Beat-Cha Cha Heels.MP3,400
375,KATHLEEN,ROACHFORD,REGGAE,1989,Roachford-Kathleen.mp3,260
376,YE KE YE KE,CLUBHOUSE,1970s,1989,Clubhouse-Light My Fire.mp3,205
377,BEDS ARE BURNING,MIDNIGHT OIL,LOVE SONGS,1989,Midnight Oil-Beds Are Burning.mp3,255
378,YOU'RE BEAUTIFUL,JAMES BLUNT,COUNTRY,1989,James Blunt-You're Beautiful.mp3,204
379,SIT DOWN,JAMES,LATIN,1989,James-Sit Down.mp3,247
380,BAMBOLERO,"GYPSY KINGS, THE",LATIN,1989,"Gypsy Kings, The-Bamboleo.mp3",203
381,COME TOGETHER,PRIMAL SCREAM,LATIN,1990,Primal Scream-Come Together.mp3,293
382,HEART LIKE A WHEEL,"HUMAN LEAGUE, THE",1950s,1990,"Human League, The-Heart Like A Wheel.mp3",270
383,RELEASE ME,WILSON PHILLIPS,INDIE,1990,Wilson Phillips-Release Me.mp3,295
384,NEXT TO YOU,ASWAD,HIP HOP & RAP,1990,Aswad-Next To You.mp3,222
385,BONITA APPLEBUM,A TRIBE CALLED QUEST,1990s,1990,A Tribe Called Quest-Bonita Applebum.mp3,215
386,LA SERENISSIMA,DNA,1950s,1990,DNA-La Serenissima.mp3,223
387,CLUB AT THE END OF THE STREET,ELTON JOHN,LIVE,1990,Elton John-Club At The End Of The Street.mp3,291
388,THE RIGHT COMBINATION,SEIKO MATSUDA & DONNIE WAHLBERG,1970s,1990,Seiko Matsuda & Donnie Wahlberg-The Right Combination.mp3,267
389,PINK CHAMPAGNE,SHAKIN' STEVENS,2010s,1990,Shakin' Stevens-Pink Champagne.mp3,200
390,GROOVE IS IN THE HEART,DEEE LITE,2010s,1990,Deee Lite-Groove Is In The Heart.mp3,233
391,SET ADRIFT ON MEMORY BLISS,PM DAWN,COUNTRY,1991,PM Dawn-Set Adrift On Memory Bliss.mp3,251
392,GUARANTEED,LEVEL 42,COUNTRY,1991,Level 42-Guaranteed.mp3,231
393,NEAR WILD HEAVEN,R.E.M.,1950s,1991,R.E.M.-Near Wild Heaven.mp3,199
394,ROMANTIC,KARYN WHITE,COUNTRY,1991,Karyn White-Romantic.mp3,247
395,LOVE… THY WILL BE DONE,MARTIKA,2000s,1991,Martika-Love...Thy Will Be Done.mp3,302
396,CHARLY,"PRODIGY, THE",LIVE,1991,"Prodigy, The-Charly.mp3",236
397,HAPPY TOGETHER,JASON DONOVAN,POP,1991,Jason Donovan-Happy Together.mp3,189
398,SUNSHINE ON A RAINY DAY (1991),ZOE,ROCK,1991,Zoe-Sunshine On A Rainy Day.mp3,285
399,INSANITY,OCEANIC,1980s,1991,Oceanic-Insanity.mp3,242
400,WHAT CAN YOU DO FOR ME,UTAH SAINTS,MOTOWN & SOUL,1991,Utah Saints-What Can You Do For Me.mp3,219
401,MY LOVIN',EN VOGUE,1990s,1992,En Vogue-My Lovin'.mp3,282
402,VIVA LAS VEGAS,ZZ TOP,ROCK & ROLL,1992,ZZ Top-Viva Las Vegas.mp3,246
403,COUNTRY HOUSE,BLUR,2000s,1992,Blur-Country House.mp3,233
404,FOOLS GOLD,"STONE ROSES, THE",POP,1992,"Stone Roses, The-Fools Gold.mp3",258
405,AM I THE SAME GIRL,SWING OUT SISTER,CLUB,1992,Swing Out Sister-Am I The Same Girl.mp3,241
406,SHE'S ON IT,"BEASTIE BOYS, THE",1980s,1992,"Beastie Boys, The-She's On It.mp3",260
407,MUSIC MOVES YOU,BLAME,JAZZ,1992,Blame-Music Moves You.mp3,236
408,DIVINE THING,"SOUP DRAGONS, THE",2000s,1992,"Soup Dragons, The-Divine Thing.mp3",231
409,IT'S NOT A LOVE THING,GEOFFREY WILLIAMS,ROCK & ROLL,1992,Geoffrey Williams-It's Not A Love Thing.mp3,235
410,STRAIGHT TO YOU,NICK CAVE & THE BAD SEEDS,R&B,1992,Nick Cave & The Bad Seeds-Straight To You.mp3,275
411,RED RED WINE,UB40,HIP HOP & RAP,1993,UB40-Red Red Wine.mp3,182
412,I DON'T WANNA FIGHT,TINA TURNER,CLASSICAL,1993,Tina Turner-I Don't Wanna Fight.mp3,266
413,JUMP AROUND,HOUSE OF PAIN,ROCK & ROLL,1993,House Of Pain-Jump Around.mp3,212
414,TOP O' THE MORNING TO YA,HOUSE OF PAIN,CLASSICAL,1993,House Of Pain-Top O' The Morning to Ya.mp3,216
415,BELIEVE,LENNY KRAVITZ,2010s,1993,Lenny Kravitz-Believe.mp3,295
416,CREEP,RADIOHEAD,1970s,1993,Radiohead-Creep.mp3,235
417,SIMPLE LIFE,ELTON JOHN,LOVE SONGS,1993,Elton John-Simple Life.mp3,385
418,THESE THINGS ARE WORTH FIGHTING FOR,GARY CLAIL ON-U SOUND SYSTEM,REGGAE,1993,Gary Clail & On U Sound System-These Things Are Worth Fighting For.mp3,270
419,I'M GONNA SOOTHE YOU,MARIA MCKEE,POP,1993,Maria McKee-I'm Gonna Soothe You.mp3,218
420,TURN OFF,MILLTOWN BROTHERS,JAZZ,1993,Milltown Brothers-Turn Off.mp3,212
421,MMM MMM MMM MMM,CRASH TEST DUMMIES,DISCO,1994,Crash Test Dummies-MMM MMM MMM MMM.mp3,227
422,SWEETS FOR MY SWEET,CJ LEWIS,ROCK & ROLL,1994,CJ Lewis-Sweets For My Sweet.mp3,203
423,100 PER CENT PURE LOVE,CRYSTAL WATERS,INDIE,1994,Crystal Waters-100 Per Cent Pure Love.mp3,181
424,I'LL STAND BY YOU,"PRETENDERS, THE",IRISH,1994,"Pretenders, The-I'll Stand By You.mp3",240
425,STAND BY ME,OASIS,1950s,1994,Oasis-Stand By Me.mp3,356
426,HIGH ON A HAPPY VIBE,URBAN COOKIE COLLECTIVE,LIVE,1994,Urban Cookie Collective-High On A Happy Vibe.mp3,187
427,PRESSURE,DRIZABONE,LIVE,1994,Drizabone-Pressure.mp3,318
428,IT'S NOT MY FAULT,BLINK,1960s,1994,Blink-It's Not My Fault.mp3,222
429,LIGHT MY FIRE,CLUBHOUSE,1980s,1994,Clubhouse-Ye ke Ye ke.mp3,226
430,I WANNA BE THE ONLY ONE,ETERNAL FT BEBE WINANS,COUNTRY,1994,Eternal ft Bebe Winans-I Wanna Be The Only One.mp3,213
431,POPSCENE,BLUR,2010s,1995,Blur-Popscene.mp3,195
432,SUPERSONIC,OASIS,1960s,1995,Oasis-Supersonic.mp3,275
433,EVERYBODY,CLOCK,1960s,1995,Clock-Everybody.mp3,214
434,OH FATHER,MADONNA,INDIE,1995,Madonna-Oh Father.mp3,269
435,JUST WHEN YOU'RE THINKIN' THINGS OVER,"CHARLATANS, THE",INDIE,1995,"Charlatans, The-Just When You're Thinkin' Things Over.mp3",291
436,HAPPY JUST TO BE WITH YOU,MICHELLE GAYLE,LATIN,1995,Michelle Gayle-Happy Just to Be With You.mp3,234
437,VENUS AS A BOY,BJORK,REGGAE,1995,Bjork-Venus As a Boy.mp3,281
438,MANDINKA,SINEAD O'CONNOR,ROCK,1995,Sinead O'Connor-Mandinka.mp3,228
439,SHOUT (IT OUT),LOUCHIE LOU & MICHIE ONE,1980s,1995,Louchie Lou & Michie One-Shout (It Out).mp3,209
440,MOON,VIRUS,JAZZ,1995,Virus-Moon.mp3,487
441,STUPID GIRL,GARBAGE,POP,1996,Garbage-Stupid Girl.mp3,259
442,CHASING RAINBOWS,SHED SEVEN,LOVE SONGS,1996,Shed Seven-Chasing Rainbows.mp3,263
443,BEING BRAVE,MENSWEAR,HIP HOP & RAP,1996,Menswear-Being Brave.mp3,284
444,WHO'S THAT GIRL,MADONNA,IRISH,1996,Madonna-Who's That Girl.mp3,240
445,BREATHE (A LITTLE DEEPER),BLAMELESS,1950s,1996,Blameless-Breathe (A Little Deeper).mp3,228
446,DON'T LEAVE,FAITHLESS,POP,1996,Faithless-Don't Leave.mp3,240
447,LOVE U MORE,SUNSCREEM,1950s,1996,Sunscreem-Love U More.mp3,251
448,DEMOCRACY,KILLING JOKE,POP,1996,Killing Joke-Democracy.mp3,219
449,MOVING ON UP (ON THE RIGHT SIDE),BEVERLEY KNIGHT,COUNTRY,1996,Beverley Knight-Moving On Up (On The Right Side).mp3,253
450,ONE MORE GOOD NIGHT WITH THE BOYS,TASMIN ARCHER,LATIN,1996,Talking Heads-Once In A Lifetime.mp3,260
451,I'LL BE MISSING YOU,PUFF DADDY & FAITH EVANS,POP,1997,Puff Daddy & Faith Evans-I'll Be Missing You.mp3,303
452,MMMBOP,HANSON,MOTOWN & SOUL,1997,Hanson-Mmmbop.mp3,238
453,WONDERWALL,OASIS,1970s,1997,Oasis-Wonderwall.mp3,258
454,MEN IN BLACK,WILL SMITH,COUNTRY,1997,Will Smith-Men In Black.mp3,233
455,FREED FROM DESIRE,GALA,MOTOWN & SOUL,1997,Gala-Freed From Desire.mp3,249
456,FREE,ULTRA NATE,INDIE,1997,Ultra Nate-Free.mp3,222
457,CRAZY,ETERNAL,DISCO,1997,Eternal-Crazy.mp3,237
458,BITTER SWEET SYMPHONY,"VERVE, THE",ROCK & ROLL,1997,"Verve, The-Bitter Sweet Symphony.mp3",359
459,TUBTHUMPING,CHUMBAWAMBA,ROCK,1997,Chumbawamba-Tubthumping.mp3,204
460,CLOSER THAN CLOSE,ROSIE GAINES,COUNTRY,1997,Rosie Gaines-Closer Than Close.mp3,223
461,I LOVE THE WAY YOU LOVE ME,BOYZONE,MOTOWN & SOUL,1998,Boyzone-I Love The Way You Love Me.mp3,225
462,C'EST LA VIE,BEWITCHED,DISCO,1998,BeWitched-C'est La Vie.mp3,174
463,STOP,"SPICE GIRLS, THE",2010s,1998,"Spice Girls, The-Stop.mp3",204
464,FREAK ME,ANOTHER LEVEL,2000s,1998,Another Level-Freak Me.mp3,225
465,GOT THE FEELIN',FIVE,JAZZ,1998,Five-Got The Feelin'.mp3,208
466,MUSIC SOUNDS BETTER WITH YOU,STARDUST,CLUB,1998,Stardust-Music Sounds Better With You.mp3,204
467,SAVE TONIGHT,EAGLE EYE CHERRY,CLASSICAL,1998,Eagle Eye Cherry-Save Tonight.mp3,232
468,DEEPER UNDERGROUND,JAMIROQUAI,LIVE,1998,Jamiroquai-Deeper Underground.mp3,214
469,LIFE IS A FLOWER,ACE OF BASE,2010s,1998,Ace Of Base-Life Is A Flower.mp3,226
470,LOOKING FOR LOVE,KAREN RAMIREZ,2010s,1998,Karen Ramirez-Looking For Love.mp3,233
471,BABY ONE MORE TIME,BRITNEY SPEARS,R&B,1999,Britney Spears-Baby One More Time.mp3,210
472,BETTER THE DEVIL YOU KNOW,STEPS,INDIE,1999,Steps-Better The Devil You Know.mp3,228
473,LIVIN' LA VIDA LOCA,RICKY MARTIN,HIP HOP & RAP,1999,Ricky Martin-Livin' La Vida Loca.mp3,246
474,BLUE (DA BA DEE),EIFFEL 65,HIP HOP & RAP,1999,Eiffel 65-Blue (Da Ba Dee).mp3,281
475,MAMBO NO.5,LOU BEGA,1970s,1999,Lou Bega-Mambo No.5.mp3,219
476,THAT DON'T IMPRESS ME MUCH,SHANIA TWAIN,DISCO,1999,Shania Twain-That Don't Impress Me Much.mp3,245
477,9PM (TILL I COME),ATB,INDIE,1999,ATB-9PM (Till I Come).mp3,163
478,GENIE IN A BOTTLE,CHRISTINA AGUILERA,POP,1999,Christina Aguilera-Genie In A Bottle.mp3,217
479,NO SCRUBS,TLC,1960s,1999,TLC-No Scrubs.mp3,221
480,SWEET LIKE CHOCOLATE,SHANKS & BIGFOOT,HIP HOP & RAP,1999,Shanks & Bigfoot-Sweet Like Chocolate.mp3,194
481,WHO LET THE DOGS OUT,"BAHA MEN, THE",REGGAE,2000,"Baha Men, The-Who Let The Dogs Out.mp3",191
482,FEELS SO GOOD,SONIQUE,1980s,2000,Sonique-Feels So Good.mp3,228
